ku_id,ku_name,ku_description,exam_frequency,r1_chunk_id,r1_score,r1_page,r1_excerpt,r2_chunk_id,r2_score,r2_page,r2_excerpt,r3_chunk_id,r3_score,r3_page,r3_excerpt,correct_rank
RENJIAO-G7-MATH-S-ku-多项式的定义,多项式的定义,几个单项式的和叫作多项式，每个单项式叫作多项式的项，不含字母的项叫作常数项。,mid,985342dd-c456-4906-a1fc-3175d94526a6_00176,0.6486,99,第四章 整式的加减 ２ 犪 ＋３ 犫 ， １ ２ 犪犫 － π 狉 ２ 的项和次数分别是什么 ？ 多项式里 ， 次数最高的项的次数 ， 叫作这个 多 项式的次数 ． 例如 ， 多项式 ２ 狀 －１０ 有 ２ 项 ， 次数最 高的项是一次项 ２ 狀 ， 这个多项式的次数是 １ ； 多项 式 狓 ２ ＋,985342dd-c456-4906-a1fc-3175d94526a6_00175,0.6434,98,第四章 整式的加减 ጷ˸ １． 填表 ： 单项式 ２ 犪 ２ －１．２ 犺 狓狔 ２ － 狋 ２ － ２ 狏狋 ３ 系数 次数 ２． 用单项式填空 ， 并指出它们的系数和次数 ． （ １ ） 国家速滑馆 “ 冰丝带 ” 采用了我国自有的二氧化碳跨临界直冷制 冰系统 ， 不仅安全 ， 而且绿色环保 ．,985342dd-c456-4906-a1fc-3175d94526a6_00177,0.6236,99,： （ １ ） ２ 犪 ＋２ 犫 ， 它的项分别为 ２ 犪 ， ２ 犫 ， 次数是 １ ． 注意多项式中的每 一项都包含它前面的正 负号 ． （ ２ ） 犿 ３ －２ ， 它的项分别为 犿 ３ ， －２ ， 次数 是 ３ ． （ ３ ） ２ 犪 －１２ 犫 ， 它的项分别为 ２ 犪 ， －１２ 犫 ,
RENJIAO-G1-MATH-X-ku-装盒问题-包含除,装盒问题（包含除）,求一个数里面有几个另一个数，用减法或连减。,mid,556d2ae0-de02-497c-95bc-14332325adf5_00073,0.6486,74,通过前面的学习，同学们已经会用加、减法解决一些简 单的实际问题了。说一说：你会用加法解决哪些实际问题？ 这些问题有什么共同点？ 你会用减法解决哪些实际问题？这些问题有什么共同 点？互相交流一下。 还有很多实际问题中也有这样的加减关系。 5 + 1 = 6 （盒） 原来有 5 盒，又拿来 1 盒，现在,556d2ae0-de02-497c-95bc-14332325adf5_00056,0.6034,57,运走了多少箱？ 如果 10 个装一箱，可以装满几箱？如果 6 个装一箱呢？ 王阿姨要包 30 个 ，已经包了 7 个，还要包多少个？ 爸爸买了 3 袋苹果，每袋 6 个，一共买了多少个苹果？ 原来有 68 箱， 还剩下 12 箱。 6 7 8 5 100 以内的口算加、减法 52 仅供个人学习使用，,556d2ae0-de02-497c-95bc-14332325adf5_00088,0.6005,89,你会用学过的知识解决哪些生活中的问题？ 数量关系 我会用加、减法 解决一些简单的 实际问题。 可以解决一共有多少、还 剩多少、比多少的问题。 例如…… 47 + 25 = 72 个位 十位 百位 1 0 0 用数字 0 ～ 9 ，可以 表示更多的数了。 计算时，几个一和几 个一相加，几个十和 几个十,
RENJIAO-G5-MATH-S-ku-有限小数和无限小数,有限小数和无限小数,小数位数有限的是有限小数，位数无限的是无限小数。,mid,e011db49-0039-4b88-a479-847c72ac083e_00038,0.6487,39,1 用简便形式写出下面的循环小数。 1 . 555 … 1 . 746746 … 0 . 105353 … 2 计算下面各题，除不尽的先用循环小数表示所得的商，再保留两位小数写 出它的近似数。 2 . 29 ÷ 1 . 1 153 ÷ 7 . 2 23 ÷ 3 . 3 一个循环小数的小数部分，依次不,e011db49-0039-4b88-a479-847c72ac083e_00037,0.5318,38,400 ÷ 75= 计算下面各题，说一说商有什么特点。 28 ÷ 18= 78 . 6 ÷ 11= 一个数的小数部分，从某一位起，一个数字或者几个数字依次不断重复出 现，这样的小数叫作 循环小数 。像上面的 5 . 333 …和 7 . 14545 …都是循环小数。 7 5 4 0 0 3 7 5 ,e011db49-0039-4b88-a479-847c72ac083e_00010,0.4881,11,大家来讨论：小数乘法应该怎样计算？ 0 . 56 × 0 . 04= 0 . 5 6 × 0 . 0 4 0 . 0 2 2 4 0 . 5 6 × 0 . 0 4 2 2 4 ……两位小数 ……两位小数 ……（ ）位小数 一个数（ 0 除外）乘大于 1 的数，积比原来的数（ ）。 一个数（ 0 除,
RENJIAO-G11-MATH-A-SBX1-ku-含参数方程表示的曲线形状,含参数方程表示的曲线形状,方程(m-1)x^2+(3-m)y^2=(m-1)(3-m)中m变化时，曲线可为圆、椭圆、双曲线或两条直线。,mid,2694bce5-cca0-42c0-bf2f-38ca64b16c57_00387,0.6487,148,第三章 圆锥曲线的方程 ፇ 6789:;<= ၹ ᭧ ړ᩼ ԥ ጳ گ ข ړ ጳ ᔵڊ ᮇག ሦ ሏ ဋ ຒᤃጳ ὆ԥ ጳ὇ ʼመړ᩼ ጳᄊ ˧ ʼመړ᩼ ጳᄊ ю ሮ ʼመړ᩼ ጳᄊї͵ ᠏ ʼመړ᩼ ጳᄊ ၹ >7?@ABC 圆锥曲线有丰富的现实背景和广泛的实际应用 ， 例如行星运行轨道 、 ,2694bce5-cca0-42c0-bf2f-38ca64b16c57_00255,0.6414,92,． 点 犕 的轨迹方程是 指点 犕 的坐标 （ 狓 ， 狔 ） 满 足的关系式 ． 轨迹是指点 在运动变化过程中形成的 图形 ． 在解析几何中 ， 我 们常常把图形看作点的轨 迹 （ 集合 ） ． 于是有 狓 ０ ＝２ 狓 －４ ， 狔 ０ ＝２ 狔 －３． ① 因为点 犃 在圆 （ 狓 ＋１ ） ,2694bce5-cca0-42c0-bf2f-38ca64b16c57_00394,0.641,151,第三章 圆锥曲线的方程 y x O B D A （ 第 １０ 题 ） １０． 如图 ， 已知直线与抛物线 狔 ２ ＝２ 狆狓 （ 狆 ＞ ０ ） 交于 犃 ， 犅 两点 ， 且 犗犃 ⊥ 犗犅 ， 犗犇 ⊥ 犃犅 交 犃犅 于点 犇 ， 点 犇 的坐标为 （ ２ ， １ ）， 求 狆 的值 ． １１,
RENJIAO-G8-MATH-X-ku-分段函数及其图象,分段函数及其图象,实际问题中，函数在不同自变量范围内有不同的解析式，需分段表示，图象由不同线段组成。,mid,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00171,0.649,118,ʷǌ ቦᅼគፇ ڏ̄ ǌڀᮏˁ Ꮶ 第二十二章 函数 ᧚ˁԫ᧚ Ѧ ᄊ Ѧ ᄊ᛫ᇨ ѵ᛫ข ᝍ ข ڏ៶ข Ѧ ᄊ ၹ 现实世界中存在着大量的运动变化现象 ． 本章结合一些实际问题 ， 分 析了一个运动变化过程中两个变量之间的一种对应关系 ， 即每当其中某 个变量取一个确定的值时 ， 另一个变量有唯,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00159,0.6468,108,第二十二章 函数 一般地 ， 对于一个函数 ， 如果把自变量与函数的每对对应值分别作为点的 横 、 纵坐标 ， 那么坐标平面内由这些点组成的图形 ， 就是这个 函数的图象 ． 图 ２２．２  １ 的曲线即函数 犛 ＝ 狓 ２ （ 狓 ＞ ０ ） 的图象 ． 例 １ 在下列式子中 ， 狔 是 狓 的,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00158,0.6441,107,第二十二章 函数 ２２．２ 函数的表示 由上一节我们知道 ， 用解析式可以表示函数与自变量之间的 关系 ， 例如路程与时间的关系 ； 用图和表格也可以表示函数与自 变量之间的关系 ， 例如潮水高度与时间的关系 、 年利率与存款期 限的关系 ． 表示函数时 ， 要根据具体情况选择合适的方法 ． 有些问,
RENJIAO-G5-MATH-S-ku-可能性-一定-可能-不可能,可能性（一定、可能、不可能）,事件发生的可能性分为一定、可能、不可能三种情况。,mid,e011db49-0039-4b88-a479-847c72ac083e_00048,0.6492,49,联欢会上小丽、小红、小明三名同学抽签表演节目，三张卡片上分别 写着唱歌、跳舞、朗诵。 小丽抽到了朗诵，最后只有一张了。小红会抽到什么？ 小丽 小明 小红 小明抽到了跳舞，接下来小丽可能会抽到什么？ 唱 歌 朗 诵 跳 舞 小明第一个抽签，他可能会抽到什么节目？ 4 可能性 1 也可能是朗诵。 三种情,e011db49-0039-4b88-a479-847c72ac083e_00051,0.6227,52,练习十一 转动指针，说一说指针可能停在 哪种颜色的区域上。 一个正方体，六个面上分别 写着数字 1 、 2 、 3 、 4 、 5 、 6 。 掷一次，可能掷出哪个数字？ 1 1 2 从盒子里摸出一个球，结果会是什么？连一连。 一定摸到黄球。 可能摸到黄球。 可能摸到红球。 不可能摸到红球。 一定摸,e011db49-0039-4b88-a479-847c72ac083e_00053,0.6218,54,生活中的数学 给 表面涂上红、蓝两种颜色，要使掷出红色面朝上的可能性比蓝色面 大，应该怎么涂？ 把 10 张卡片放入纸袋，随意摸一张，要使摸出数字“ 1 ”的可能性最大， 摸出数字“ 5 ”的可能性最小，卡片上的数字应该怎样填？请你填一填。 本单元结束了， 你想说些什么？ 成长小档案 我的收获： _,
RENJIAO-G8-MATH-X-ku-二次根式在物理公式中的应用,二次根式在物理公式中的应用,由Q=I²Rt，代入已知量解二次根式方程求电流I。,mid,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00010,0.6492,9,第十九章 二次根式 １９．１ 二次根式及其性质 整式和分式都可以表示一些问题中的数量和数量关系 ． 在学习了算术平方根的概念后 ， 我们还可以用含有根号的式 子表示数量和数量关系 ． 例如 ， 本章引言中广播电视节目信 号的传播半径 狉 可以表示为 ２ 槡 犚犺． 再来看一些例子 ． ᕊ5 用含有根,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00045,0.6286,28,第十九章 二次根式 那契数列的第 狀 个数可以表示为 槡 ５ ５ （ １＋ 槡 ５ ２ ） 狀 － （ １－ 槡 ５ ２ ） 狀 熿燀 燄燅 ， 请你用这个式子 验算斐波那契数列的第 １ 个数和第 ２ 个数是否都是 １． ８． 电流通过导线时会产生热量 ， 电流 犐 （ 单位 ： Ａ ）、 导线电阻,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00022,0.6018,17,第十九章 二次根式 在解法 ２ 中 ， 槡 ３ 槡 ５＝ 槡 ３× 槡 ５ 槡 ５× 槡 ５ ， 这样变形是为 了使分母中不含二次 根式 ． 解法 ２ ： 槡 ３ 槡 ５＝ 槡 ３× 槡 ５ 槡 ５× 槡 ５ ＝ 槡 １５ 槡 ５ （） ２ ＝ 槡 １５ ５ ． （ ２ ） ３ 槡 ２ 槡 ２７ ＝,
RENJIAO-G6-MATH-S-ku-已知一个数的几分之几是多少求这个数,已知一个数的几分之几是多少求这个数,设未知数，根据等量关系列方程求解；或直接用已知量除以对应分率。,mid,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00007,0.6494,8,3 在这里，一个数乘几分之几表示的 是求这个数的几分之几是多少。 （1）种土豆的面积是多少公顷？ 2 1 5 1 想：这是求 公顷的 是多少。求一个数的几分之几是多少，用乘法计算。 做一做 1 桶水的体积是 12 L 。 2 想：	求的是 3 个 12 L ，也就是 12 L 的（　）倍是多少。 1,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00042,0.6057,43,在通常情况下，体积相等的冰和水，冰的质量比水的质量少 。现有一 块重 9 kg 的冰，如果一桶水的体积和这块冰的体积相等，这桶水有多重？ 有一组互相咬合的齿轮。 10 1 （1）大齿轮有 140 个齿，小齿轮的齿数是大齿轮的    。小齿轮有多少 个齿？ （2）小齿轮有 28 个齿，是大齿轮的   ,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00048,0.5982,49,计算下面各题。 （1）张大爷养了 200 只鹅，鹅的数量是鸭的  。张大爷养了多少只鸭？ （2）张大爷养了 200 只鹅，鹅的数量比鸭少  。张大爷养了多少只鸭？ 张大爷养的鹅和鸭共有 700 只，其中鹅的数量是鸭的  。鹅和 鸭各有多少只？ （3） 5 3 5 2 5 2 16 15 5 ÷ 25,
RENJIAO-G12-MATH-A-SBX3-ku-分类变量与数值变量的区别,分类变量与数值变量的区别,分类变量取值是类别，数值变量取值是数值。,mid,e97866e1-cebb-4bf7-9a18-3b85d2416a1a_00345,0.6495,129,第八章 成对数据的统计分析 ８３ 列联表与独立性检验 前面两节所讨论的变量 ， 如人的身高 、 树的胸径 、 树的 高度 、 短跑 １００ｍ 世界纪录和创纪录的时间等 ， 都是数值变 量 ． 数值变量的取值为实数 ， 其大小和运算都有实际含义 ． 在现实生活中 ， 人们经常需要回答一定范围内的两种,e97866e1-cebb-4bf7-9a18-3b85d2416a1a_00352,0.6165,131,断 ． 例 １ 为比较甲 、 乙两所学校学生的数学水平 ， 采用简单随机抽样的方法抽取 ８８ 名 学生 ． 通过测验得到了如下数据 ： 甲校 ４３ 名学生中有 １０ 名数学成绩优秀 ； 乙校 ４５ 名学 生中有 ７ 名数学成绩优秀 ． 试分析两校学生中数学成绩优秀率之间是否存在差异 ． 解 ： 用 ,e97866e1-cebb-4bf7-9a18-3b85d2416a1a_00378,0.6065,140,第八章 成对数据的统计分析 ܭ˸ ڍ 习题 ８．３ １． 为什么必须基于成对样本数据推断两个分类变量之间是否有关联？ ２． 为什么 χ ２ 独立性检验方法不适用于普查数据？ ３． 等高堆积条形图在两个分类变量之间关联性的研究中能够起到什么作用？ ４． 对于已经获取的成对样本数据 ， 检验结论 “ 两,
RENJIAO-G2-MATH-S-ku-分类的含义与标准,分类的含义与标准,把物品按一定标准分成不同类别，分类标准不同结果可能不同。,mid,8e39130d-c881-4f18-8751-0957badd1c3d_00013,0.6496,14,把全班同学分为两组，你想怎样分？用自己喜欢的方式 表示分类的结果，并与同伴交流。 6 （ 1 ）把上面的图形分为两类，可以怎样分？把分类的结 果记录在下表中。 （ 2 ）上面的分类结果，还可以继续分吗？分一分并表示 出分类的结果。 （ 3 ）根据第二次分类的结果，与同桌互相提一个数学问题。 7 本单,8e39130d-c881-4f18-8751-0957badd1c3d_00007,0.6336,8,可以把分组结果整理到表格中。 想一想：还可以按什么分组？ 对比分组结果，你发现了什么？ 类别 大人 孩子 人数 8 6 性别 男 女 人数 类别 人数 我按大人和孩子分。 我按性别分。 分类标准不同，结果可能不同，但总数不变。 分两组做游戏，可以怎样分组呢？ 2 3,8e39130d-c881-4f18-8751-0957badd1c3d_00006,0.6334,7,说一说：生活中还有哪些需要分类整理的事情？分类整 理有哪些好处？ （ 1 ）按蔬菜的种类分一分，将结果表示出来。 （ 2 ）哪种蔬菜最多？哪种最少？ （ ）片 （ ）片 （ ）片 （ ）片 分类整理后，更容易 数出每类物品…… 分类整理后，物品 更容易找到。 把下面的蔬菜分类。 2 做一做 按形状分,
RENJIAO-G5-MATH-S-ku-小数乘除法的转化思想,小数乘除法的转化思想,小数乘除法转化为整数乘除法计算。,mid,e011db49-0039-4b88-a479-847c72ac083e_00033,0.6497,34,大家来讨论：除数是小数的除法应该怎样计算？ 12 . 6 ÷ 0 . 28= 0 . 2 8 1 2 . 6 0 在被除数的末尾 用“ 0 ”补足。 下面各题算得对吗？把不对的改正过来。 4 5 1 2 . 6 0 1 1 2 1 4 0 1 4 0 0 0 . 2 8 8 1 . 8 1 . 4 ,e011db49-0039-4b88-a479-847c72ac083e_00016,0.648,17,小数四则混合运算的顺序跟整数四则混合运算的顺序相同。 0 . 7 × 1 . 2 1 . 2 × 0 . 7 （ 0 . 8 × 0 . 5 ） × 0 . 4 0 . 8 × （ 0 . 5 × 0 . 4 ） （ 2 . 4+3 . 6 ） × 0 . 5 2 . 4 × 0 . 5+3 . 6,e011db49-0039-4b88-a479-847c72ac083e_00003,0.6444,4,一分耕耘，一分收获。让我们一起努力，共同进步！ 新的学期开始了，你准备好探索更广阔的数学世界了吗？ 在前面的学习中，相信你已经认识了小数，学会了小数加、减法的 运算。本学期，我们将一起探索小数乘、除法的计算方法，体会它们和 整数乘、除法的联系；进一步学习用字母表示未知数，根据等量关系列 出方程，解决,
RENJIAO-G12-MATH-A-SBX3-ku-正态分布的概念,正态分布的概念,连续型随机变量取值充满区间或实轴，正态分布是其中一种重要分布。,mid,e97866e1-cebb-4bf7-9a18-3b85d2416a1a_00242,0.651,90,第七章 随机变量及其分布 正态分布在概率和统计中占有重要地位 ， 它广泛存在于自然现象 、 生产和生活实践之 中 ． 在现实生活中 ， 很多随机变量都服从或近似服从正态分布 ． 例如 ， 某些物理量的测量误 差 ， 某一地区同年龄人群的身高 、 体重 、 肺活量等 ， 一定条件下生长的小麦的株高 、,e97866e1-cebb-4bf7-9a18-3b85d2416a1a_00240,0.6468,89,） ２ ２ σ ２ ， 狓 ∈ 犚． 其中 μ ∈ 犚 ， σ ＞ ０ 为参数 ． 显然 ， 对任意的 狓 ∈ 犚 ， 犳 （ 狓 ） ＞ ０ ， 它的图象在 狓 轴的 上方 ． 可以证明 狓 轴和曲线之间的区域的面积为 １ ． 我们称 犳 （ 狓 ） 为 正态密度函数 ， 称它的图象为 正态密度曲,e97866e1-cebb-4bf7-9a18-3b85d2416a1a_00239,0.6415,89,第七章 随机变量及其分布 随着样本数据量越来越大 ， 让分组越来越多 ， 组距越来越小 ， 由频率的稳定性可知 ， 频率分布直方图的轮廓就越来越稳定 ， 接近一条光滑的钟形曲线 ， 如图 ７．５  ２ 所示 ． 0 - 6 - 4 - 2 2 4 6 0 0.05 0.10 0.15 0.20 ᵅ,
RENJIAO-G6-MATH-S-ku-分数混合运算顺序,分数混合运算顺序,分数混合运算的顺序与整数混合运算相同：先乘除后加减，有括号先算括号里的。,mid,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00013,0.6511,14,9 我们已经学过整数和小数的乘法运算律，这些运算律在分数运算中还 适用吗？ 计算下面每组的两个算式，看看它们有什么关系。 根据以上计算可以发现，整数乘法的交换律、结合律和分配律，对于分数 乘法也适用。应用乘法的运算律，有时可以使计算简便。 分数混合运算的顺序和整数混合运算的顺序相同。你会计算这两个算,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00035,0.5566,36,4 9 8 ÷ 4 13 6 ÷ 15 13 10 ÷ 15 14 10 3 ÷ 计算下面各题。 24 24 （    ） （    ） （    ） 9 8 ÷ = = （    ） （    ） （    ） （    ） 5 4 16 7 ÷ = = （    ） （    ） 计算下面各题。,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00006,0.5386,7,2 ？个 1 分数乘法 小雅、爸爸、妈妈一起吃蛋糕，每人吃     个， 3 人一共吃多少个？ 9 2 1 能先约分的可以 先约分，再计算。 做一做 分数与整数相乘，是怎样计算的？ （个） = = + + 9 2 9 2 9 2 9 6 3 2 3 个     相加，用乘法表示就是 × 3 或 3 ,
RENJIAO-G8-MATH-S-ku-三角形的中线,三角形的中线,连接三角形一个顶点和它对边中点的线段叫做三角形的中线。,mid,2cc5fef3-0f4c-4f9c-9f6e-8f817aca7b87_00017,0.6512,14,第十三章 三角形 三角形的稳定性有着广泛的应用 ， 图 １３．２４ 表示其中一些例子 ． 你能再举 一些例子吗？ BF ᱧ I᳣ ᶒ 图 １３．２４ ጷ˸ １． 下列长度的三条线段能否组成三角形 ？ 为什么 ？ （ １ ） ３ ， ４ ， ８ ； （ ２ ） ５ ， ６ ， １１ ； （ ３ ）,2cc5fef3-0f4c-4f9c-9f6e-8f817aca7b87_00018,0.6487,15,第十三章 三角形 点 （ 图 １３．２  ６ （ ２ ）） ． A C D B A C D B F E （ １ ） （ ２ ） 图 １３．２  ６ A C D B 图 １３．２  ７ 如图 １３．２  ７ ， 从 △ 犃犅犆 的顶点 犃 向它所对的边 犅犆 所 在直线画垂线 ， 垂足为 犇 ,2cc5fef3-0f4c-4f9c-9f6e-8f817aca7b87_00010,0.6298,9,第十三章 三角形 １３．１ 三角形的概念 在小学 ， 我们已经初步认识了三角形 ． 本节我们将进一 步学习三角形的有关概念及其符号表示 ， 以及三角形的分类 ． A B C a c b 图 １３．１  １ 如图 １３．１  １ ， 由不在同一条直线上的三条线段首 尾顺次相接所组成的图形叫作 三角,
renjiao-math-g10-a-ku-一元二次不等式恒成立问题,一元二次不等式恒成立问题,对于一元二次不等式恒成立，需考虑二次项系数符号和判别式Δ<0等条件。,mid,2e0d9544-a589-4011-9c62-6f178b6af20b_00147,0.6512,58,方程的根是相应一元二次函数的零点 ， 所以先求出一元 二次方程的根 ， 再根据二次函数图象与 狓 轴的相关位置确定一元二次不等式的解集 ． 我们知道 ， 对于一元二次方程 犪狓 ２ ＋ 犫狓 ＋ 犮 ＝０ （ 犪 ＞ ０ ）， 设 Δ ＝ 犫 ２ －４ 犪犮 ， 它的根按照 Δ ＞ ０ ， Δ ＝０,2e0d9544-a589-4011-9c62-6f178b6af20b_00143,0.6447,57,第二章 一元二次函数 、 方程和不等式 ２３ 二次函数与一元二次方程 、 不等式 在初中 ， 我们从一次函数的角度看一元一次方程 、 一元一 次不等式 ， 发现了三者之间的内在联系 ， 利用这种联系可以更 好地解决相关问题 ． 对于二次函数 、 一元二次方程和一元二次 不等式 ， 是否也有这样的联,2e0d9544-a589-4011-9c62-6f178b6af20b_00146,0.6297,58,第二章 一元二次函数 、 方程和不等式 y = x 2 - 12 x +20 y x O 5 10 - 5 - 10 - 15 2 10 20 5 15 图 ２．３  １ 一般地 ， 对于二次函数 狔 ＝ 犪狓 ２ ＋ 犫狓 ＋ 犮 ， 我们把使 犪狓 ２ ＋ 犫狓 ＋ 犮 ＝０ 的实数 狓 叫做,
RENJIAO-G8-MATH-X-ku-大数据的基本概念与应用,大数据的基本概念与应用,大数据指海量数据，利用大数据技术可快速获取有效信息，广泛应用于购物推荐、分布式计算等领域。,mid,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00330,0.6513,194,第二十四章 数据的分析 随着数据量的增长 ， 能否快速地处理大数据 ， 成为影响大数据广泛应用的 重要因素 ． 例如 ， 面对瞬息万变的气象信息数据 、 实时变化的股市行情数据等 ， 都需要快速地处理数据 ． 对于应该多快地处理大数据 ， 有人提出 “ １ｓ 定律 ”， 只有当数据处理速度在秒级 ，,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00331,0.6051,194,务拆分成多个子任务 ， 然后分派给多台计算机共同完成 ， 这能够极大地提高效率 、 降低成本 ． 此外 ， 我们学习的绘制统计图 、 数据的分 组等内容 ， 也与大数据时代广泛涉及的可视化分析 、 聚类分析等密切关联 ． 你还想了解哪些大数据的信息 ？ 请查阅资料 ， 并分享给大家吧 ！ ７８１ 仅,1fb8c045-5856-4ca2-92f1-2ce3c0f2d8f0_00332,0.5811,194,据的分 组等内容 ， 也与大数据时代广泛涉及的可视化分析 、 聚类分析等密切关联 ． 你还想了解哪些大数据的信息 ？ 请查阅资料 ， 并分享给大家吧 ！ ７８１ 仅供个人学习使用，未经授权不得另做他用,
RENJIAO-G6-MATH-S-ku-求比一个数多几分之几的数,求比一个数多几分之几的数,求比一个数多几分之几的数，用这个数乘（1+几分之几）或加上多的部分。,mid,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00007,0.6516,8,3 在这里，一个数乘几分之几表示的 是求这个数的几分之几是多少。 （1）种土豆的面积是多少公顷？ 2 1 5 1 想：这是求 公顷的 是多少。求一个数的几分之几是多少，用乘法计算。 做一做 1 桶水的体积是 12 L 。 2 想：	求的是 3 个 12 L ，也就是 12 L 的（　）倍是多少。 1,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00042,0.5834,43,在通常情况下，体积相等的冰和水，冰的质量比水的质量少 。现有一 块重 9 kg 的冰，如果一桶水的体积和这块冰的体积相等，这桶水有多重？ 有一组互相咬合的齿轮。 10 1 （1）大齿轮有 140 个齿，小齿轮的齿数是大齿轮的    。小齿轮有多少 个齿？ （2）小齿轮有 28 个齿，是大齿轮的   ,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00091,0.5758,92,小飞家原来每月用水约 10 t ，更换了节水龙头后每月用水 约 9 t ，每月用 水比原来节约了百分之多少？ 在实际生活中，人们常用“增加百分之多少”“减少百分之多少”“节约 百分之多少”等来表示增加、减少的幅度。 你知道上面这些话的含义吗？举例说一说。 116 . 7 % - 100 % =16 ,
RENJIAO-G6-MATH-X-ku-用反比例解决问题,用反比例解决问题,当两个量的乘积一定时，可以设未知数，根据乘积相等列方程求解。,mid,a1c832dd-a81d-4971-ac87-06510b416aa8_00050,0.6525,51,46 每天运的质量/ t 300 150 100 75 60 50 运货的天数/ 天 1 2 3 4 5 6 （1） （2） （3） 写出几组这两种量中相对应的两个数的乘积，并比较乘积的大小， 说一说这个乘积表示什么。 运货的天数与每天运的质量成反比例关系吗？为什么？ 表中有哪两种量？它们是不是相关,a1c832dd-a81d-4971-ac87-06510b416aa8_00047,0.6498,48,43 2. 正比例和反比例 正比例 （1）表中有哪两种量？ （2）总价是怎样随着数量的变化而变化的？ （3）相应的总价与数量的比分别是多少？比值是多少？ 从上表可以看出，总价与数量是两种相关联的量，总价随着数量的变化而变 化，而且总价与相应数量的比值总是一定的， 。比值 3 . 5 ，实际就是彩带的,a1c832dd-a81d-4971-ac87-06510b416aa8_00049,0.6479,50,45 把相同体积的水倒入底面积不同的圆柱形容器，容器的底面积与水的高度 的变化情况如下表。 根据上表，回答下面的问题。 （1）表中有哪两种量？ （2）水的高度是怎样随着容器底面积的大小变化而变化的？ （3）相对应的容器的底面积与水的高度的乘积分别是多少？ 从上表可以看出，水的高度和容器的底面积是两种,
RENJIAO-G6-MATH-S-ku-求一个数比另一个数多-或少-百分之几,求一个数比另一个数多（或少）百分之几,求一个数比另一个数多（或少）百分之几，用差量除以单位“1”的量。,mid,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00091,0.6529,92,小飞家原来每月用水约 10 t ，更换了节水龙头后每月用水 约 9 t ，每月用 水比原来节约了百分之多少？ 在实际生活中，人们常用“增加百分之多少”“减少百分之多少”“节约 百分之多少”等来表示增加、减少的幅度。 你知道上面这些话的含义吗？举例说一说。 116 . 7 % - 100 % =16 ,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00084,0.6308,85,请稍候，安装程序正在格式化 安装程序正在格式化... 14% 像上面这样的数，如 14 % 、 65 . 5 % 、 120 %…… 叫作 百分数 。 你还在什么地方见过上面这样的数？ 百分数表示一个数是另一个数的百分之多少，如 14 % 表示一个数是另一 个数的          。 百分数也叫作,9f10b5f6-f742-4f86-997d-32dfbe90c12f_00094,0.6122,95,90 填空。 1999 年我国藏羚羊的数量 是 7 万只左右，到 2021 年 年底增加到 30 万只左右。 2021 年年底藏羚羊的数量比 1999 年增加了百分之多少？ 经过防沙治沙综合治理，西部某沙漠完全沙化的面积已由原来的大约 1 . 8 万平方千米缩小为约 1 . 2 万平方千米，完全沙化,
RENJIAO-G4-MATH-S-ku-四边形的分类与特征,四边形的分类与特征,正方形、长方形、平行四边形、梯形各有不同边和角特征。,mid,6962b1f3-b116-4af5-ba4c-4bc7da224f9f_00070,0.6532,71,66 你见过下面这样的图形吗？它们有什么共同点？ 只有一组对边平行的四边形叫作 梯形 。 下面哪些图形是梯形？画出每个梯形的高，分别指出它们的上 底、下底和腰。 看右图，说一说梯形 各部分的名称。 两腰相等的梯形叫作 等腰梯形 。 有一个角是直角的梯 形叫作 直角梯形 。 我们认识了哪些四边形？它们,6962b1f3-b116-4af5-ba4c-4bc7da224f9f_00068,0.6263,69,64 我们认识过平行四边形，你能说出在哪些地方见过平行 四边形吗？ 上面各图中都有平行四边形。 研究一下，平行四边形的边有什么特点。 两组对边分别平行的四边形，叫作 平行四边形 。 平行四边形的 对边互相平行。 对边也相等。 从平行四边形一条边上的一点向 对边引一条垂线，这个点和垂足之间 的线段叫作,6962b1f3-b116-4af5-ba4c-4bc7da224f9f_00069,0.6146,70,65 用四根吸管串成一个长方形，然后用两手捏住长方形的两个 对角，向相反方向拉。 两组对边有什么变化？拉成了什么图形？ 通过动手操作，我们发现平行四边形容易变形。平行四边形 的这种特点，在实际生活中有广泛的应用。 用四根小棒摆一个平行四边形，能摆出不同的平行四边形吗？ 你还见过应用平行四边形这一特点,
